tweets,health_index,depression_risk,anxiety_risk,stress_level,social_isolation,self_esteem_issues,emotional_instability,emotional_signature
Why does this always happen to me? ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| People are driving me crazy ||| Angry and exhausted 😡,62,32,40,63,47,30,70,"Irritable, stressed, impatient"
I had a great day today! ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| I had a great day today!,82,12,10,19,19,8,10,"Calm, joyful, optimistic"
Nothing seems to go right ||| Feeling down today... ||| Nothing seems to go right ||| Feeling lonely and anxious ||| I hate Mondays,48,70,62,58,70,45,77,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Excited about my new project!",97,17,13,23,19,20,11,"Calm, joyful, optimistic"
"Feeling blessed and happy 😊 ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Excited about my new project!",99,11,2,22,18,3,13,"Calm, joyful, optimistic"
Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project!,99,11,2,26,8,14,11,"Calm, joyful, optimistic"
"Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",98,14,18,5,4,15,9,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Nothing seems to go right ||| Nothing seems to go right,37,87,76,55,75,45,73,"Sad, withdrawn, anxious"
This is so frustrating! ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| This is so frustrating!,62,35,40,78,47,28,79,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment",99,9,5,19,15,11,16,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Feeling down today... ||| Feeling lonely and anxious,60,66,76,49,53,69,57,"Sad, withdrawn, anxious"
This is so frustrating! ||| People are driving me crazy ||| Angry and exhausted 😡 ||| This is so frustrating! ||| Angry and exhausted 😡,53,33,52,71,40,43,79,"Irritable, stressed, impatient"
Nothing seems to go right ||| I hate Mondays ||| Nothing seems to go right ||| Life is tough sometimes ||| Feeling down today...,37,79,68,54,78,44,56,"Sad, withdrawn, anxious"
Life is tough sometimes ||| Life is tough sometimes ||| Nothing seems to go right ||| Feeling down today... ||| I hate Mondays,31,89,52,66,80,69,74,"Sad, withdrawn, anxious"
I had a great day today! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| I had a great day today!,96,16,13,3,9,12,0,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Life is tough sometimes ||| I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious,45,64,75,58,67,40,58,"Sad, withdrawn, anxious"
Life is tough sometimes ||| Life is tough sometimes ||| I hate Mondays ||| Feeling lonely and anxious ||| I hate Mondays,57,64,66,64,67,60,69,"Sad, withdrawn, anxious"
This is so frustrating! ||| Why does this always happen to me? ||| This is so frustrating! ||| I can't stand traffic anymore ||| Angry and exhausted 😡,59,22,69,67,46,47,68,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| I had a great day today!",97,12,3,16,12,6,8,"Calm, joyful, optimistic"
I hate Mondays ||| Life is tough sometimes ||| Feeling down today... ||| Feeling down today... ||| Nothing seems to go right,40,86,59,55,66,45,72,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| I can't stand traffic anymore,46,47,68,83,42,39,69,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Feeling blessed and happy 😊",90,2,19,2,1,20,0,"Calm, joyful, optimistic"
This is so frustrating! ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| Angry and exhausted 😡 ||| I can't stand traffic anymore,61,39,50,84,25,21,60,"Irritable, stressed, impatient"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| People are driving me crazy ||| Why does this always happen to me? ||| Angry and exhausted 😡,52,43,45,79,32,42,88,"Irritable, stressed, impatient"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| People are driving me crazy ||| People are driving me crazy ||| This is so frustrating!,40,43,57,75,45,39,76,"Irritable, stressed, impatient"
Excited about my new project! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Excited about my new project! ||| Feeling blessed and happy 😊,96,2,7,18,17,8,5,"Calm, joyful, optimistic"
I had a great day today! ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊,87,13,4,16,4,4,11,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| Angry and exhausted 😡 ||| People are driving me crazy ||| Why does this always happen to me? ||| This is so frustrating!,70,25,61,74,49,36,85,"Irritable, stressed, impatient"
Excited about my new project! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊,80,4,18,17,4,4,1,"Calm, joyful, optimistic"
Life is tough sometimes ||| Feeling down today... ||| Feeling down today... ||| Feeling lonely and anxious ||| I hate Mondays,45,74,71,49,75,54,55,"Sad, withdrawn, anxious"
People are driving me crazy ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| People are driving me crazy,58,21,50,85,43,42,89,"Irritable, stressed, impatient"
This is so frustrating! ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| People are driving me crazy,41,42,47,61,50,36,64,"Irritable, stressed, impatient"
Nothing seems to go right ||| Life is tough sometimes ||| Nothing seems to go right ||| I hate Mondays ||| Nothing seems to go right,39,66,55,41,45,58,54,"Sad, withdrawn, anxious"
"Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| I had a great day today!",90,16,0,18,20,8,4,"Calm, joyful, optimistic"
I had a great day today! ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| I had a great day today!,84,14,3,30,19,20,18,"Calm, joyful, optimistic"
Had a wonderful lunch with friends ||| I had a great day today! ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Feeling blessed and happy 😊,94,5,20,7,14,17,12,"Calm, joyful, optimistic"
Why does this always happen to me? ||| People are driving me crazy ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| Why does this always happen to me?,49,27,63,89,22,41,83,"Irritable, stressed, impatient"
This is so frustrating! ||| This is so frustrating! ||| Why does this always happen to me? ||| This is so frustrating! ||| Angry and exhausted 😡,55,43,48,89,31,29,72,"Irritable, stressed, impatient"
I can't stand traffic anymore ||| This is so frustrating! ||| Angry and exhausted 😡 ||| I can't stand traffic anymore ||| This is so frustrating!,52,36,48,63,23,22,60,"Irritable, stressed, impatient"
Feeling down today... ||| Life is tough sometimes ||| I hate Mondays ||| Feeling down today... ||| Life is tough sometimes,46,82,73,54,59,47,74,"Sad, withdrawn, anxious"
I hate Mondays ||| Feeling down today... ||| Feeling down today... ||| Nothing seems to go right ||| Feeling down today...,53,68,50,60,63,62,60,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| Angry and exhausted 😡 ||| This is so frustrating! ||| People are driving me crazy ||| This is so frustrating!,50,42,54,65,35,49,67,"Irritable, stressed, impatient"
"Excited about my new project! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",85,20,7,15,20,0,20,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| This is so frustrating! ||| I can't stand traffic anymore ||| People are driving me crazy ||| People are driving me crazy,69,38,42,66,27,35,90,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment",82,19,6,0,20,0,3,"Calm, joyful, optimistic"
"Excited about my new project! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",85,12,19,13,0,20,17,"Calm, joyful, optimistic"
Why does this always happen to me? ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| People are driving me crazy ||| People are driving me crazy,70,21,48,81,36,33,76,"Irritable, stressed, impatient"
"Excited about my new project! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| I had a great day today!",82,14,14,14,6,8,10,"Calm, joyful, optimistic"
Feeling down today... ||| Nothing seems to go right ||| Feeling lonely and anxious ||| I hate Mondays ||| Nothing seems to go right,35,67,55,65,46,53,70,"Sad, withdrawn, anxious"
"Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends",87,19,4,1,12,13,20,"Calm, joyful, optimistic"
"Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Excited about my new project!",92,3,5,26,2,19,6,"Calm, joyful, optimistic"
I hate Mondays ||| Nothing seems to go right ||| Life is tough sometimes ||| Life is tough sometimes ||| Nothing seems to go right,35,75,53,50,80,68,74,"Sad, withdrawn, anxious"
I can't stand traffic anymore ||| This is so frustrating! ||| This is so frustrating! ||| Why does this always happen to me? ||| People are driving me crazy,42,20,48,68,40,24,65,"Irritable, stressed, impatient"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| I can't stand traffic anymore ||| This is so frustrating!,52,29,54,61,45,41,86,"Irritable, stressed, impatient"
Life is tough sometimes ||| Feeling down today... ||| I hate Mondays ||| I hate Mondays ||| Nothing seems to go right,41,70,64,43,79,44,56,"Sad, withdrawn, anxious"
Feeling lonely and anxious ||| I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Nothing seems to go right,35,71,50,54,66,64,57,"Sad, withdrawn, anxious"
"Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Excited about my new project!",98,7,19,9,20,12,20,"Calm, joyful, optimistic"
Nothing seems to go right ||| Feeling down today... ||| Feeling down today... ||| Nothing seems to go right ||| Feeling lonely and anxious,32,75,54,64,63,68,58,"Sad, withdrawn, anxious"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| This is so frustrating! ||| People are driving me crazy,52,36,56,90,24,28,80,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling lonely and anxious ||| I hate Mondays ||| Feeling down today...,57,84,55,51,79,56,63,"Sad, withdrawn, anxious"
Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling down today... ||| Life is tough sometimes,45,70,77,61,48,49,62,"Sad, withdrawn, anxious"
Life is tough sometimes ||| Feeling lonely and anxious ||| Nothing seems to go right ||| I hate Mondays ||| Feeling down today...,36,67,50,69,40,44,73,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| People are driving me crazy ||| This is so frustrating! ||| This is so frustrating! ||| Why does this always happen to me?,62,30,51,62,25,35,88,"Irritable, stressed, impatient"
Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Excited about my new project! ||| Had a wonderful lunch with friends,94,1,17,13,3,11,9,"Calm, joyful, optimistic"
Nothing seems to go right ||| I hate Mondays ||| Feeling lonely and anxious ||| Feeling down today... ||| Life is tough sometimes,48,70,67,51,74,58,78,"Sad, withdrawn, anxious"
I had a great day today! ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| I had a great day today! ||| I had a great day today!,86,20,7,3,2,6,8,"Calm, joyful, optimistic"
"I had a great day today! ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| I had a great day today!",87,4,18,2,19,14,3,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| I can't stand traffic anymore,54,42,53,86,44,21,88,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Excited about my new project!",85,11,6,0,11,4,15,"Calm, joyful, optimistic"
Feeling down today... ||| Feeling down today... ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Life is tough sometimes,43,62,65,65,41,51,73,"Sad, withdrawn, anxious"
I hate Mondays ||| Life is tough sometimes ||| Feeling down today... ||| Feeling down today... ||| Feeling down today...,37,86,79,61,74,64,61,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| I can't stand traffic anymore ||| This is so frustrating! ||| This is so frustrating! ||| Why does this always happen to me?,57,38,61,65,43,38,88,"Irritable, stressed, impatient"
Life is tough sometimes ||| Feeling lonely and anxious ||| Feeling down today... ||| Feeling down today... ||| Nothing seems to go right,41,83,60,49,66,65,62,"Sad, withdrawn, anxious"
"Excited about my new project! ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",84,10,5,23,16,18,3,"Calm, joyful, optimistic"
This is so frustrating! ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| This is so frustrating! ||| Angry and exhausted 😡,42,20,58,75,28,44,61,"Irritable, stressed, impatient"
I can't stand traffic anymore ||| Angry and exhausted 😡 ||| I can't stand traffic anymore ||| Why does this always happen to me? ||| This is so frustrating!,69,44,52,69,29,48,89,"Irritable, stressed, impatient"
"Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends",96,10,19,21,18,13,4,"Calm, joyful, optimistic"
I had a great day today! ||| Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊,92,6,6,18,3,2,2,"Calm, joyful, optimistic"
"I had a great day today! ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment",95,14,10,2,20,8,19,"Calm, joyful, optimistic"
I hate Mondays ||| Feeling down today... ||| Life is tough sometimes ||| Nothing seems to go right ||| I hate Mondays,53,65,79,49,41,44,51,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| I had a great day today! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends",86,4,3,28,4,5,15,"Calm, joyful, optimistic"
I hate Mondays ||| I hate Mondays ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling lonely and anxious,59,77,52,52,68,70,69,"Sad, withdrawn, anxious"
"I had a great day today! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Excited about my new project!",92,14,19,10,13,9,1,"Calm, joyful, optimistic"
Why does this always happen to me? ||| Why does this always happen to me? ||| I can't stand traffic anymore ||| This is so frustrating! ||| Angry and exhausted 😡,50,35,67,75,20,47,64,"Irritable, stressed, impatient"
This is so frustrating! ||| This is so frustrating! ||| Why does this always happen to me? ||| This is so frustrating! ||| I can't stand traffic anymore,63,30,70,63,44,45,79,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends",96,2,14,0,18,14,8,"Calm, joyful, optimistic"
Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Excited about my new project! ||| Excited about my new project!,89,14,19,5,4,20,16,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Feeling down today... ||| Life is tough sometimes ||| I hate Mondays ||| Life is tough sometimes,56,83,64,67,71,47,78,"Sad, withdrawn, anxious"
"I had a great day today! ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Excited about my new project!",94,17,18,1,9,16,16,"Calm, joyful, optimistic"
Angry and exhausted 😡 ||| People are driving me crazy ||| People are driving me crazy ||| Why does this always happen to me? ||| I can't stand traffic anymore,46,28,43,78,38,21,65,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment ||| I had a great day today!",81,14,15,16,18,15,16,"Calm, joyful, optimistic"
Feeling down today... ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Life is tough sometimes,49,63,73,68,78,66,69,"Sad, withdrawn, anxious"
Feeling down today... ||| Nothing seems to go right ||| Nothing seems to go right ||| Feeling down today... ||| Nothing seems to go right,59,76,79,45,43,45,56,"Sad, withdrawn, anxious"
Nothing seems to go right ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Feeling down today...,53,84,58,64,57,55,54,"Sad, withdrawn, anxious"
I had a great day today! ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Had a wonderful lunch with friends,95,5,9,24,14,16,18,"Calm, joyful, optimistic"
Feeling down today... ||| I hate Mondays ||| I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious,41,74,66,57,68,61,59,"Sad, withdrawn, anxious"
Feeling down today... ||| I hate Mondays ||| I hate Mondays ||| Nothing seems to go right ||| Life is tough sometimes,51,73,71,67,67,53,75,"Sad, withdrawn, anxious"
People are driving me crazy ||| Why does this always happen to me? ||| This is so frustrating! ||| People are driving me crazy ||| Angry and exhausted 😡,42,43,42,73,30,35,77,"Irritable, stressed, impatient"
Feeling lonely and anxious ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Feeling down today...,60,81,69,53,63,56,53,"Sad, withdrawn, anxious"
I hate Mondays ||| I hate Mondays ||| Nothing seems to go right ||| Life is tough sometimes ||| Feeling down today...,43,81,63,62,55,56,70,"Sad, withdrawn, anxious"
"Excited about my new project! ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Excited about my new project! ||| Had a wonderful lunch with friends",86,0,2,25,10,10,1,"Calm, joyful, optimistic"
"Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊",80,16,3,22,2,13,6,"Calm, joyful, optimistic"
"I had a great day today! ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Excited about my new project!",89,18,20,19,12,12,9,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Feeling down today... ||| I hate Mondays ||| I hate Mondays ||| Feeling down today...,45,88,58,55,50,53,76,"Sad, withdrawn, anxious"
Life is tough sometimes ||| I hate Mondays ||| Feeling down today... ||| I hate Mondays ||| I hate Mondays,57,85,62,46,52,60,76,"Sad, withdrawn, anxious"
Life is tough sometimes ||| Feeling lonely and anxious ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Life is tough sometimes,44,72,54,52,50,70,78,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊",81,3,20,23,6,2,16,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Feeling down today... ||| Feeling down today... ||| Life is tough sometimes ||| I hate Mondays,47,64,78,68,78,58,69,"Sad, withdrawn, anxious"
"Excited about my new project! ||| Excited about my new project! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",82,0,4,3,16,12,19,"Calm, joyful, optimistic"
"I had a great day today! ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Had a wonderful lunch with friends",93,3,8,11,14,10,1,"Calm, joyful, optimistic"
I had a great day today! ||| Excited about my new project! ||| I had a great day today! ||| Excited about my new project! ||| I had a great day today!,90,3,11,12,12,3,11,"Calm, joyful, optimistic"
I had a great day today! ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| Excited about my new project! ||| Excited about my new project!,90,18,15,1,20,0,4,"Calm, joyful, optimistic"
I hate Mondays ||| Nothing seems to go right ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Nothing seems to go right,31,80,57,53,54,64,55,"Sad, withdrawn, anxious"
"Had a wonderful lunch with friends ||| I had a great day today! ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",95,17,8,5,2,9,0,"Calm, joyful, optimistic"
I hate Mondays ||| I hate Mondays ||| Nothing seems to go right ||| Feeling down today... ||| I hate Mondays,49,88,73,65,77,53,56,"Sad, withdrawn, anxious"
People are driving me crazy ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| People are driving me crazy ||| People are driving me crazy,69,42,54,77,30,50,86,"Irritable, stressed, impatient"
"Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Life is beautiful, enjoying every moment",95,16,11,5,19,5,4,"Calm, joyful, optimistic"
Life is tough sometimes ||| Feeling down today... ||| Feeling down today... ||| Feeling down today... ||| I hate Mondays,52,63,79,70,57,58,69,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| I had a great day today! ||| I had a great day today! ||| Feeling blessed and happy 😊",85,20,3,11,12,14,16,"Calm, joyful, optimistic"
Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling lonely and anxious,33,76,61,66,44,70,51,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| People are driving me crazy ||| Why does this always happen to me? ||| Angry and exhausted 😡 ||| Why does this always happen to me?,50,38,67,85,32,34,75,"Irritable, stressed, impatient"
Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| Angry and exhausted 😡 ||| People are driving me crazy ||| Angry and exhausted 😡,51,36,49,65,42,45,65,"Irritable, stressed, impatient"
Life is tough sometimes ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Nothing seems to go right,56,60,53,43,61,61,55,"Sad, withdrawn, anxious"
I hate Mondays ||| Life is tough sometimes ||| Life is tough sometimes ||| Feeling lonely and anxious ||| Feeling down today...,49,62,77,69,56,52,79,"Sad, withdrawn, anxious"
I can't stand traffic anymore ||| People are driving me crazy ||| I can't stand traffic anymore ||| People are driving me crazy ||| People are driving me crazy,49,43,52,63,20,45,76,"Irritable, stressed, impatient"
Angry and exhausted 😡 ||| Why does this always happen to me? ||| Why does this always happen to me? ||| Why does this always happen to me? ||| I can't stand traffic anymore,65,35,67,89,35,23,87,"Irritable, stressed, impatient"
I can't stand traffic anymore ||| Why does this always happen to me? ||| This is so frustrating! ||| This is so frustrating! ||| This is so frustrating!,54,31,61,61,24,35,87,"Irritable, stressed, impatient"
I hate Mondays ||| I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Nothing seems to go right,47,79,52,43,63,40,58,"Sad, withdrawn, anxious"
Nothing seems to go right ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Feeling down today... ||| I hate Mondays,57,81,66,51,80,68,52,"Sad, withdrawn, anxious"
Angry and exhausted 😡 ||| People are driving me crazy ||| People are driving me crazy ||| I can't stand traffic anymore ||| People are driving me crazy,58,21,61,89,40,50,85,"Irritable, stressed, impatient"
"Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| I had a great day today!",94,8,14,13,9,13,14,"Calm, joyful, optimistic"
Feeling down today... ||| Feeling down today... ||| Feeling lonely and anxious ||| I hate Mondays ||| Feeling down today...,34,90,68,63,77,59,67,"Sad, withdrawn, anxious"
I hate Mondays ||| Feeling lonely and anxious ||| I hate Mondays ||| I hate Mondays ||| Life is tough sometimes,33,78,55,54,58,47,66,"Sad, withdrawn, anxious"
Feeling lonely and anxious ||| I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Nothing seems to go right,43,84,76,56,51,67,51,"Sad, withdrawn, anxious"
I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious ||| I hate Mondays ||| Nothing seems to go right,38,62,53,59,72,53,53,"Sad, withdrawn, anxious"
"Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊",87,12,5,24,18,2,20,"Calm, joyful, optimistic"
Life is tough sometimes ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes ||| I hate Mondays,38,74,68,45,42,61,66,"Sad, withdrawn, anxious"
Feeling lonely and anxious ||| I hate Mondays ||| I hate Mondays ||| Life is tough sometimes ||| Life is tough sometimes,59,85,80,58,65,49,58,"Sad, withdrawn, anxious"
Nothing seems to go right ||| Feeling down today... ||| I hate Mondays ||| Feeling down today... ||| Nothing seems to go right,57,77,54,51,76,42,76,"Sad, withdrawn, anxious"
This is so frustrating! ||| People are driving me crazy ||| I can't stand traffic anymore ||| This is so frustrating! ||| This is so frustrating!,44,46,55,83,32,43,87,"Irritable, stressed, impatient"
Why does this always happen to me? ||| Angry and exhausted 😡 ||| I can't stand traffic anymore ||| People are driving me crazy ||| People are driving me crazy,66,44,66,74,25,23,72,"Irritable, stressed, impatient"
People are driving me crazy ||| Why does this always happen to me? ||| This is so frustrating! ||| I can't stand traffic anymore ||| This is so frustrating!,49,24,69,82,47,42,77,"Irritable, stressed, impatient"
Feeling down today... ||| Life is tough sometimes ||| Feeling down today... ||| I hate Mondays ||| Feeling lonely and anxious,44,61,60,65,44,59,76,"Sad, withdrawn, anxious"
I hate Mondays ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Life is tough sometimes ||| Feeling down today...,50,87,68,45,73,64,78,"Sad, withdrawn, anxious"
People are driving me crazy ||| This is so frustrating! ||| Angry and exhausted 😡 ||| I can't stand traffic anymore ||| This is so frustrating!,68,37,43,79,44,28,68,"Irritable, stressed, impatient"
Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Excited about my new project! ||| Had a wonderful lunch with friends,84,5,8,24,15,18,4,"Calm, joyful, optimistic"
Life is tough sometimes ||| Life is tough sometimes ||| Life is tough sometimes ||| Feeling down today... ||| Nothing seems to go right,50,71,72,53,43,40,80,"Sad, withdrawn, anxious"
This is so frustrating! ||| I can't stand traffic anymore ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| Angry and exhausted 😡,68,32,56,79,27,30,90,"Irritable, stressed, impatient"
"Life is beautiful, enjoying every moment ||| Feeling blessed and happy 😊 ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Excited about my new project!",96,6,19,26,17,3,19,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| This is so frustrating! ||| Why does this always happen to me? ||| Angry and exhausted 😡 ||| This is so frustrating!,40,35,61,73,39,43,77,"Irritable, stressed, impatient"
"Feeling blessed and happy 😊 ||| Excited about my new project! ||| Life is beautiful, enjoying every moment ||| I had a great day today! ||| Feeling blessed and happy 😊",82,8,3,13,19,10,0,"Calm, joyful, optimistic"
"I had a great day today! ||| Had a wonderful lunch with friends ||| I had a great day today! ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment",93,7,13,7,19,1,1,"Calm, joyful, optimistic"
